id;code;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Automotive Tactics architectures;Vita;Marquardt;Wilhelmine29@hotmail.com;reinvent;2019-05-21T06:14:51;26847;31692
2;Pants Maryland;Tremayne;Sporer;Tod9@hotmail.com;Credit Card Account;2019-05-21T02:54:49;35864;14008
3;Bedfordshire;Serenity;Hammes;Rosetta70@hotmail.com;real-time discrete redundant;2019-05-21T07:13:56;25620;86707
4;Senior Avon;Jewell;Murazik;Clemmie70@hotmail.com;auxiliary Human;2019-05-21T18:33:46;2761;37558
5;Practical North Dakota;Alfred;Hansen;Carlee.Littel83@yahoo.com;TCP Assimilated;2019-05-22T01:44:33;82260;30326
6;Brunei Darussalam interface;Rhett;Runte;Crystal.Wintheiser@gmail.com;backing up;2019-05-21T22:00:34;53135;41135
7;Philippine Peso Metal;Brennon;Wolf;Jorge4@hotmail.com;morph content bypass;2019-05-21T20:39:15;2535;18433
8;Refined infomediaries Som;Anderson;Daniel;Carlie23@hotmail.com;Handmade Tuna;2019-05-21T04:14:39;27993;63827
9;Buckinghamshire payment e-markets;Morgan;Johnson;Dell.Mann@gmail.com;Steel leading-edge Small;2019-05-22T00:24:54;4072;31141
10;Developer Shoes Music;Norberto;Kulas;Jaqueline46@hotmail.com;withdrawal Generic Frozen Tuna;2019-05-21T05:23:40;4530;26089
